i;prices_koCall;prices_kiCall;prices_koPut;prices_kiPut;richardson_koCall;richardson_kiCall;richardson_koPut;richardson_kiPut;cv_koCall;cv_kiCall;cv_koPut;cv_kiPut;
0;0;-1.#IND;0;-1.#IND;9.38454;-1.#IND;10.3802;-1.#IND;-1.#IND;-1.#IND;-1.#IND;-1.#IND;
49;2.23374;1.49061;2.85875;1.36312;2.12182;1.58224;3.51229;0.689283;2.23348;1.49036;2.85848;1.36285;
50;2.50065;1.23962;3.12171;1.11607;2.57706;1.11151;3.19452;0.991546;2.48448;1.22344;3.10552;1.09988;
51;2.17396;1.5496;2.79903;1.42205;2.84742;0.858938;3.46271;0.741157;2.17449;1.55013;2.79955;1.42257;
52;2.44257;1.29738;3.06508;1.17239;2.52454;1.16652;3.14403;1.04455;2.42671;1.28152;3.04921;1.15652;
53;2.11678;1.60605;3.26555;0.954796;2.79575;0.913426;2.89148;1.3152;2.11804;1.60732;3.2668;0.956045;
54;2.38654;1.3531;3.01014;1.22702;2.47344;1.21992;3.0946;1.09626;2.37099;1.33755;2.99458;1.21146;
55;2.59634;1.12581;3.21368;1.00599;2.21182;1.49991;2.84038;1.36886;2.59828;1.12775;3.2156;1.00792;
56;2.33249;1.40684;2.95687;1.27999;2.42374;1.27171;3.04627;1.14669;2.31725;1.3916;2.94161;1.26473;
57;2.54382;1.1777;3.16303;1.05601;2.16227;1.55179;2.7908;1.42076;2.54639;1.18027;3.16559;1.05856;
58;2.28037;1.45866;2.90522;1.33133;2.37546;1.32192;2.99907;1.19581;2.26543;1.44372;2.89027;1.31637;
59;2.49284;1.22809;3.11363;1.10483;2.11449;1.60171;2.74274;1.47096;2.496;1.23125;3.11677;1.10797;
60;2.2301;1.50863;2.85517;1.38108;2.32858;1.37057;2.953;1.24366;2.21546;1.49399;2.84052;1.36643;
61;2.44338;1.27701;3.06545;1.15246;2.06839;1.64975;2.69614;1.51952;2.44708;1.28072;3.06914;1.15615;
62;2.18162;1.55682;3.2846;0.951364;2.28307;1.41772;3.10328;1.09501;2.16727;1.54247;3.27023;0.937;
63;2.39539;1.32449;3.0185;1.1989;2.02393;1.69601;3.3254;0.892051;2.3996;1.3287;3.0227;1.2031;
64;2.13485;1.60331;3.24062;0.995054;2.92599;0.776304;3.0607;1.13911;2.12079;1.58924;3.22654;0.980977;
65;2.34885;1.37055;2.97276;1.24416;2.66846;1.05314;3.28544;0.93366;2.35354;1.37524;2.97744;1.24884;
66;2.57889;1.15899;3.1975;1.03789;2.39546;1.30824;3.01899;1.18221;2.56511;1.1452;3.1837;1.0241;
67;2.30371;1.41523;2.9282;1.28826;2.62721;1.0959;3.24604;0.974582;2.30886;1.42038;2.93334;1.2934;
68;2.53519;1.20241;3.15524;1.07988;2.35386;1.35113;2.97817;1.22433;2.52168;1.1889;3.14172;1.06636;
69;2.25994;1.45857;2.88481;1.33123;2.58677;1.13775;3.20723;1.0148;2.26552;1.46415;2.89037;1.33679;
70;2.49257;1.24476;3.11385;1.12099;2.31335;1.39286;2.93824;1.26547;2.47933;1.23152;3.1006;1.10774;
71;2.2175;1.50062;2.84255;1.37308;2.54714;1.17868;3.16904;1.05429;2.22348;1.50659;2.84852;1.37905;
